suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.269,"Ozone and carbon monoxide observations over open oceans on R/V Mirai from 67° S to 75° N during 2012 to 2017: testing global chemical reanalysis in terms of Arctic processes, low ozone levels at low latitudes, and pollution transport",Atmospheric Chemistry and Physics,2019,10.5194/acp-19-7233-2019,32,Y. Kanaya; K. Miyazaki; F. Taketani; T. Miyakawa; H. Takashima; Y. Komazaki; Xiaole Pan; S. Kato; K. Sudo; Takashi Sekiya; J. Inoue; Kazutoshi Sato; K. Oshima
recommend,0.269,The zonal structure of tropical O 3 and CO as observed by the Tropospheric Emission Spectrometer in November 2004 – Part 2: Impact of surface emissions on O 3 and its precursors,,2009,10.5194/acp-9-3563-2009,27,K. Bowman; Dylan B. A. Jones; J. Logan; H. Worden; F. Boersma; R. Chang; S. Kulawik; G. Osterman; P. Hamer; J. Worden
recommend,0.269,"Quantifying Emissions of CO and NOx Using Observations From MOPITT, OMI, TES, and OSIRIS",Journal of Geophysical Research - Atmospheres,2016,10.1029/2018jd028670,13,X. Zhang; Dylan B. A. Jones; M. Keller; T. Walker; Zhe Jiang; D. Henze; H. Worden; A. Bourassa; D. Degenstein; Y. Rochon
recommend,0.269,"Supplementary material to ""Comparison of Optimal Estimation HDO/H2O Retrievals from AIRS with ORACLES measurements""",,2019,10.5194/amt-2019-195,4,R. Herman; J. Worden; D. Noone; D. Henze; K. Bowman; K. Cady-Pereira; V. Payne; S. Kulawik; D. Fu
recommend,0.269,The Contribution of Fires to TES Observations of Free Tropospheric PAN over North America in July,,2017,10.5194/acp-2017-1025,0,E. Fischer; Liye Zhu; V. Payne; J. Worden; Zhe Jiang; S. Kulawik; Steven J. Brey; A. Hecobian; D. Gombos; K. Cady-Pereira; F. Flocke
recommend,0.25,Preindustrial to present-day changes in tropospheric hydroxyl radical and methane lifetime from the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP),,2012,10.5194/acp-13-5277-2013,354,V. Naik; A. Voulgarakis; A. Fiore; L. Horowitz; J. Lamarque; Meiyun Lin; M. Prather; P. Young; D. Bergmann; P. Cameron-smith; I. Cionni; W. Collins; S. Dalsøren; R. Doherty; V. Eyring; G. Faluvegi; G. Folberth; B. Josse; Y. Lee; I. MacKenzie; T. Nagashima; T. Noije; D. Plummer; M. Righi; S. Rumbold; R. Skeie; D. Shindell; D. Stevenson; S. Strode; K. Sudo; S. Szopa; G. Zeng
recommend,0.25,Carbon monoxide distributions from the IASI/METOP mission: evaluation with other space-borne remote sensors,,2009,10.5194/acp-9-8317-2009,227,M. George; C. Clerbaux; D. Hurtmans; S. Turquety; P. Coheur; M. Pommier; J. Hadji-Lazaro; D. Edwards; H. Worden; M. Luo; C. Rinsland; W. McMillan
recommend,0.25,Cross-track Infrared Sounder (CrIS) satellite observations of tropospheric ammonia,,2015,10.5194/amt-8-1323-2015,162,M. Shephard; K. Cady-Pereira
recommend,0.25,"A tropospheric chemistry reanalysis for the years 2005–2012 based on an assimilation of OMI, MLS, TES, and MOPITT satellite data",,2015,10.5194/acp-15-8315-2015,96,K. Miyazaki; H. Eskes; K. Sudo
recommend,0.25,Characterization of ozone profiles derived from Aura TES and OMI radiances,,2012,10.5194/acp-13-3445-2013,93,D. Fu; J. Worden; Xiong Liu; S. Kulawik; K. Bowman; V. Natraj
recommend,0.25,Characterizing summertime chemical boundary conditions for airmasses entering the US West Coast,,2010,10.5194/acp-11-1769-2011,87,G. Pfister; D. Parrish; H. Worden; L. Emmons; D. Edwards; C. Wiedinmyer; G. Diskin; G. Huey; S. Oltmans; V. Thouret; A. Weinheimer; A. Wisthaler
recommend,0.25,Radiance-based retrieval bias mitigation for the MOPITT instrument: the version 8 product,Atmospheric Measurement Techniques,2019,10.5194/amt-12-4561-2019,82,M. Deeter; D. Edwards; G. Francis; J. Gille; D. Mao; S. Martínez-Alonso; H. Worden; D. Ziskin; M. Andreae
recommend,0.25,Using airborne HIAPER Pole-to-Pole Observations (HIPPO) to evaluate model and remote sensing estimates of atmospheric carbon dioxide,,2016,10.5194/acp-16-7867-2016,33,C. Frankenberg; S. Kulawik; S. Wofsy; F. Chevallier; B. Daube; E. Kort; C. O’Dell; E. Olsen; G. Osterman
recommend,0.25,Satellite Observations of the Tropical Terrestrial Carbon Balance and Interactions With the Water Cycle During the 21st Century,Reviews of Geophysics,2021,10.1029/2020rg000711,31,J. Worden; S. Saatchi; M. Keller; A. Bloom; Junjie Liu; N. Parazoo; J. Fisher; K. Bowman; J. Reager; Kristen A. Fahy; D. Schimel; R. Fu; S. Worden; Yi Yin; P. Gentine; A. Konings; G. R. Quetin; Mat Williams; H. Worden; M. Shi; A. Barkhordarian
recommend,0.25,"Impacts of transported background pollutants on summertime western US air quality: model evaluation, sensitivity analysis and data assimilation",,2012,10.5194/acp-13-359-2013,31,Min Huang; G. Carmichael; T. Chai; R. Pierce; S. Oltmans; D. Jaffe; K. Bowman; A. Kaduwela; C. Cai; A. Weinheimer; L. G. Huey; G. Diskin
recommend,0.25,"The impact of orbital sampling, monthly averaging and vertical resolution on climate chemistry model evaluation with satellite observations",,2011,10.5194/acp-11-6493-2011,30,A. Aghedo; K. Bowman; D. Shindell; G. Faluvegi
recommend,0.25,Improved monitoring of surface ozone by joint assimilation of geostationary satellite observations of ozone and CO,,2014,10.1016/j.atmosenv.2013.11.048,27,P. Zoogman; D. Jacob; K. Chance; H. Worden; D. Edwards; Lin Zhang
recommend,0.25,A linear CO chemistry parameterization in a chemistry-transport model: evaluation and application to data assimilation,,2010,10.5194/acp-10-6097-2010,25,M. Claeyman; J. Attié; L. E. Amraoui; D. Cariolle; V. Peuch; H. Teyssèdre; B. Josse; P. Ricaud; S. Massart; A. Piacentini; J. Cammas; N. Livesey; H. Pumphrey; D. Edwards
recommend,0.25,Averaging kernel prediction from atmospheric and surface state parameters based on multiple regression for nadir-viewing satellite measurements of carbon monoxide and ozone,,2013,10.5194/amt-6-1633-2013,23,H. Worden; D. Edwards; M. Deeter; D. Fu; S. Kulawik; J. Worden; A. Arellano
recommend,0.25,Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a satellite-based multi-constituent chemical reanalysis,,2017,10.5194/acp-17-8285-2017,22,K. Miyazaki; K. Bowman
recommend,0.25,Technical Note: Temporal change in averaging kernels as a source of uncertainty in trend estimates of carbon monoxide retrieved from MOPITT,,2013,10.5194/acp-13-11307-2013,19,J. Yoon; A. Pozzer; P. Hoor; D. Chang; S. Beirle; T. Wagner; Sebastian Schloegl; J. Lelieveld; H. Worden
recommend,0.25,Using TES retrievals to investigate PAN in North American biomass burning plumes,,2018,10.5194/acp-18-5639-2018,15,E. Fischer; Liye Zhu; V. Payne; J. Worden; Zhe Jiang; S. Kulawik; Steven J. Brey; A. Hecobian; D. Gombos; K. Cady-Pereira; F. Flocke
recommend,0.25,Evaluation of MOPITT and TROPOMI carbon monoxide retrievals using AirCore in situ vertical profiles,Atmospheric Measurement Techniques,2022,10.5194/amt-15-4751-2022,12,S. Martínez-Alonso; M. Deeter; B. Baier; K. McKain; H. Worden; T. Borsdorff; C. Sweeney; I. Aben
