Product,Date,Provider,Protocol,Extension,Country,StudyArea,Users,Files,Volume (MB)
TRPSCRAERNH42H2D,2025-07-13,GESDISCCLOUD,HTTPS,N/A,Japan,Other,1,1,685.825
TRPSCRAERNH42H2D,2025-07-17,GESDISCCLOUD,HTTPS,N/A,Korea South,N/A,1,1,687.549
TRPSCRAERNH4M3D,2025-07-16,GESDISCCLOUD,HTTPS,N/A,China,Geophysics,1,1,44.371
TRPSCRAERNH4M3D,2025-07-17,GESDISCCLOUD,HTTPS,N/A,China,Geophysics,1,1,36.672
TRPSCRAERNO32H2D,2025-07-17,GESDISCCLOUD,HTTPS,N/A,Korea South,N/A,1,1,721.137
TRPSCRAERSO42H2D,2025-07-17,GESDISCCLOUD,HTTPS,N/A,Korea South,N/A,1,1,677.763
TRPSCRCH2O2H2D,2025-07-06,GESDISCCLOUD,HTTPS,N/A,Chile,Tropospheric Chemistry,1,1,644.183
TRPSCRCH2O2H2D,2025-07-07,GESDISC,OpenDAP,nc,Chile,Tropospheric Chemistry,1,9,333.906
TRPSCRCH2O2H2D,2025-07-07,GESDISC,OpenDAP,nc4,Chile,Tropospheric Chemistry,1,7,988.658
TRPSCRCH2O2H2D,2025-07-07,GESDISCCLOUD,HTTPS,N/A,Chile,Tropospheric Chemistry,1,17,10957.386
TRPSCRCH2O2H2D,2025-07-17,GESDISCCLOUD,HTTPS,N/A,Korea South,N/A,1,1,645.571
TRPSCRCH2O6H3D,2025-07-06,GESDISCCLOUD,HTTPS,N/A,Chile,Tropospheric Chemistry,1,1,1583.559
TRPSCRCH2O6H3D,2025-07-07,GESDISC,OpenDAP,dods,Chile,Tropospheric Chemistry,1,9,.008
TRPSCRCH2O6H3D,2025-07-07,GESDISC,OpenDAP,nc4,Chile,Tropospheric Chemistry,1,1,1.497
TRPSCRCH2O6H3D,2025-07-07,GESDISCCLOUD,HTTPS,N/A,Chile,Tropospheric Chemistry,1,17,89777.422
