Product,Date,Provider,Protocol,Extension,Country,StudyArea,Users,Files,Volume (MB)
TRPSCRAERNH42H2D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.005
TRPSCRAERNH42H2D,2026-05-25,GESDISCCLOUD,HTTPS,N/A,China,Air Sea Interaction,1,3,968.211
TRPSCRAERNH46H3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.003
TRPSCRAERNH4M3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.001
TRPSCRAERNO32H2D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,3,.005
TRPSCRAERNO36H3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,4,.003
TRPSCRAERNO36H3D,2026-05-20,GESDISCCLOUD,HTTPS,N/A,China,Air Sea Interaction,1,1,2106.374
TRPSCRAERNO3M3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,3,.001
TRPSCRAERNO3M3D,2026-05-23,GESDISCCLOUD,HTTPS,N/A,China,Air Sea Interaction,1,2,96.065
TRPSCRAERSO42H2D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.005
TRPSCRAERSO46H3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.003
TRPSCRAERSO46H3D,2026-05-22,GESDISCCLOUD,HTTPS,N/A,China,Air Sea Interaction,1,2,7124.271
TRPSCRAERSO4M3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,3,.001
TRPSCRAERSO4M3D,2026-05-25,GESDISCCLOUD,HTTPS,N/A,China,Air Sea Interaction,1,2,86.544
TRPSCRCH2O2H2D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.005
TRPSCRCH2O2H2D,2026-05-08,GESDISC,HTTPS,nc,China,Atmospheric Aerosols,1,1,644.414
TRPSCRCH2O2H2D,2026-05-11,GESDISC,HTTPS,nc,China,Atmospheric Aerosols,1,1,644.414
TRPSCRCH2O6H3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.003
TRPSCRCH2O6H3D,2026-05-25,GESDISCCLOUD,HTTPS,N/A,China,Air Sea Interaction,1,1,1792.687
TRPSCRCH2OM3D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,1,.001
TRPSCRCO2H2D,2026-05-01,GESDISCCLOUD,HTTPS,N/A,United States,Other,1,2,.005
